Date,Real Estate Prices
2009/01/01,257000
2009/04/01,273400
2009/07/01,274100
2009/10/01,272900
2010/01/01,275300
2010/04/01,268800
2010/07/01,266000
2010/10/01,278000
2011/01/01,268100
2011/04/01,267600
2011/07/01,263000
2011/10/01,259700
2012/01/01,278000
2012/04/01,282700
2012/07/01,294500
2012/10/01,297700
2013/01/01,307400
2013/04/01,320400
2013/07/01,324400
2013/10/01,334400
2014/01/01,331400
2014/04/01,340600
2014/07/01,340400
2014/10/01,369400
2015/01/01,348000
2015/04/01,339700
2015/07/01,347400
2015/10/01,366700
2016/01/01,357000
2016/04/01,357900
2016/07/01,358800
2016/10/01,364900
2017/01/01,374800
2017/04/01,376900
2017/07/01,373200
2017/10/01,399700
2018/01/01,374600
2018/04/01,378400
2018/07/01,392900
2018/10/01,384000
2019/01/01,375500
2019/04/01,376700
2019/07/01,382700
2019/10/01,384600
2020/01/01,383000
2020/04/01,374500
2020/07/01,397800
2020/10/01,403900
2021/01/01,418600
2021/04/01,440600
2021/07/01,473000
2021/10/01,497300
2022/01/01,514100
2022/04/01,527500
2022/07/01,542900
